epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,874.238,1.82417,2.72505,1.81612,0.24576,0.24184,0.16559,0.0616,2.10157,3.10496,2.1601,0.000475118,0.000475118,0.000475118
2,1609.92,1.85871,2.41182,1.86119,0.33166,0.23072,0.20545,0.0749,2.09247,2.71379,2.1005,0.000942032,0.000942032,0.000942032
3,2340.45,1.86736,2.34423,1.87122,0.27951,0.26121,0.21264,0.08509,2.08005,2.84663,2.12109,0.00139951,0.00139951,0.00139951
4,3074.11,1.85277,2.30928,1.85724,0.30825,0.29062,0.23845,0.09846,2.0153,2.39765,2.04885,0.00138656,0.00138656,0.00138656
5,3804.99,1.81765,2.22687,1.82883,0.3503,0.29095,0.25312,0.10246,2.05737,2.34991,2.04554,0.00137241,0.00137241,0.00137241
6,4539.9,1.79956,2.18133,1.81359,0.34104,0.32337,0.25527,0.10123,1.99599,2.55617,2.00389,0.00135826,0.00135826,0.00135826
7,5274.97,1.76892,2.15621,1.79481,0.34462,0.31171,0.26943,0.11899,1.96057,2.27784,1.98392,0.00134412,0.00134412,0.00134412
8,6015.65,1.7592,2.11062,1.78776,0.43615,0.29827,0.29912,0.12776,1.96562,2.28133,1.98338,0.00132997,0.00132997,0.00132997
9,6750.12,1.75139,2.10263,1.78004,0.35141,0.32015,0.2775,0.12367,1.95259,2.28373,1.99348,0.00131582,0.00131582,0.00131582
10,7481.29,1.73234,2.06167,1.76697,0.39502,0.31148,0.29457,0.12597,1.95543,2.29323,1.96853,0.00130168,0.00130168,0.00130168
11,8214.87,1.72622,2.04457,1.75967,0.3884,0.32686,0.30678,0.14082,1.91885,2.14904,1.94642,0.00128753,0.00128753,0.00128753
12,8949.02,1.71077,2.00893,1.75177,0.36973,0.3305,0.30618,0.13776,1.88484,2.12741,1.92959,0.00127338,0.00127338,0.00127338
13,9685.89,1.71182,2.00154,1.75005,0.40588,0.34363,0.31944,0.14813,1.86845,2.07672,1.9262,0.00125923,0.00125923,0.00125923
14,10422.8,1.70597,1.99578,1.74257,0.38368,0.3433,0.29175,0.1319,1.89759,2.1926,1.97322,0.00124509,0.00124509,0.00124509
15,11162.4,1.69762,1.98304,1.73302,0.37849,0.33198,0.29749,0.13326,1.89037,2.29456,1.92588,0.00123094,0.00123094,0.00123094
16,11895.5,1.69011,1.9757,1.72792,0.43548,0.33981,0.33046,0.15063,1.9006,2.03795,1.94728,0.00121679,0.00121679,0.00121679
17,12631.4,1.68101,1.96204,1.72996,0.44609,0.33006,0.34052,0.15227,1.89668,2.10467,1.93747,0.00120265,0.00120265,0.00120265
18,13362.1,1.67586,1.93784,1.71768,0.43566,0.35616,0.35771,0.16199,1.88664,1.98576,1.89052,0.0011885,0.0011885,0.0011885
19,14088.5,1.66711,1.92635,1.71256,0.42247,0.3591,0.34376,0.15714,1.87314,2.0029,1.91083,0.00117435,0.00117435,0.00117435
20,14818.9,1.66806,1.92874,1.71533,0.42462,0.35371,0.33863,0.15508,1.86758,1.99802,1.89626,0.00116021,0.00116021,0.00116021
21,15546.9,1.66526,1.90199,1.70857,0.42939,0.37718,0.35673,0.1664,1.86924,1.94944,1.90828,0.00114606,0.00114606,0.00114606
22,16277.3,1.64907,1.88992,1.7055,0.43964,0.36743,0.34944,0.16273,1.84356,1.98285,1.89677,0.00113191,0.00113191,0.00113191
23,17004.3,1.65809,1.90215,1.70602,0.43023,0.36258,0.34918,0.15703,1.84513,2.00469,1.89032,0.00111776,0.00111776,0.00111776
